,approachSpeed,centerLocation,direction,dotNum,dotSize,dotSpeed,motion,movieFrameStart
0,0.48,-50-10,backward,5180,1,99,translation,0
1,0.096,-50-10,backward,1184,2,19,translation,60
2,2.05,-50-10,backward,11882,1,398,translation,120
3,0.05,-50-10,backward,11882,1,10,translation,180
4,0.096,-50-10,forward,2888,2,19,translation,240
5,0.24,-50-10,backward,2888,2,49,translation,300
6,1,-50-10,backward,2258,1,199,translation,360
7,1,-50-10,backward,5180,1,199,translation,420
8,0.05,-50-10,backward,485,2,10,translation,480
9,0.096,-50-10,backward,5180,1,19,translation,540
10,2.05,-50-10,backward,5180,1,398,translation,600
11,0.096,-50-10,forward,485,2,19,translation,660
12,0.05,-50-10,forward,2258,1,10,translation,720
13,2.05,-50-10,backward,485,2,398,translation,780
14,0.24,-50-10,backward,485,2,49,translation,840
15,0.48,-50-10,backward,2258,1,99,translation,900
16,0.48,-50-10,forward,11882,1,99,translation,960
17,1,-50-10,backward,1184,2,199,translation,1020
18,1,-50-10,forward,11882,1,199,translation,1080
19,0.24,-50-10,backward,11882,1,49,translation,1140
20,0.05,-50-10,backward,2888,2,10,translation,1200
21,0.05,-50-10,backward,5180,1,10,translation,1260
22,0.48,-50-10,backward,485,2,99,translation,1320
23,0.05,-50-10,backward,2258,1,10,translation,1380
24,0.48,-50-10,forward,5180,1,99,translation,1440
25,1,-50-10,forward,485,2,199,translation,1500
26,0.096,-50-10,forward,2258,1,19,translation,1560
27,2.05,-50-10,forward,485,2,398,translation,1620
28,2.05,-50-10,backward,2258,1,398,translation,1680
29,0.24,-50-10,forward,2888,2,49,translation,1740
30,2.05,-50-10,forward,2888,2,398,translation,1800
31,0.05,-50-10,forward,485,2,10,translation,1860
32,0.24,-50-10,forward,5180,1,49,translation,1920
33,0.096,-50-10,backward,2888,2,19,translation,1980
34,0.096,-50-10,forward,5180,1,19,translation,2040
35,0.05,-50-10,forward,2888,2,10,translation,2100
36,0.48,-50-10,forward,2888,2,99,translation,2160
37,0.24,-50-10,backward,5180,1,49,translation,2220
38,0.096,-50-10,forward,11882,1,19,translation,2280
39,0.096,-50-10,forward,1184,2,19,translation,2340
40,0.24,-50-10,forward,11882,1,49,translation,2400
41,1,-50-10,forward,1184,2,199,translation,2460
42,1,-50-10,backward,11882,1,199,translation,2520
43,0.096,-50-10,backward,2258,1,19,translation,2580
44,0.48,-50-10,forward,485,2,99,translation,2640
45,1,-50-10,forward,2888,2,199,translation,2700
46,1,-50-10,forward,2258,1,199,translation,2760
47,0.24,-50-10,forward,1184,2,49,translation,2820
48,2.05,-50-10,forward,1184,2,398,translation,2880
49,0.24,-50-10,forward,485,2,49,translation,2940
50,0.24,-50-10,forward,2258,1,49,translation,3000
51,0.24,-50-10,backward,2258,1,49,translation,3060
52,2.05,-50-10,forward,11882,1,398,translation,3120
53,0.48,-50-10,forward,1184,2,99,translation,3180
54,0.48,-50-10,backward,1184,2,99,translation,3240
55,1,-50-10,backward,2888,2,199,translation,3300
56,0.05,-50-10,backward,1184,2,10,translation,3360
57,0.24,-50-10,backward,1184,2,49,translation,3420
58,0.48,-50-10,backward,2888,2,99,translation,3480
59,1,-50-10,backward,485,2,199,translation,3540
60,0.05,-50-10,forward,11882,1,10,translation,3600
61,2.05,-50-10,backward,2888,2,398,translation,3660
62,0.05,-50-10,forward,5180,1,10,translation,3720
63,2.05,-50-10,forward,2258,1,398,translation,3780
64,0.48,-50-10,forward,2258,1,99,translation,3840
65,0.096,-50-10,backward,11882,1,19,translation,3900
66,2.05,-50-10,forward,5180,1,398,translation,3960
67,2.05,-50-10,backward,1184,2,398,translation,4020
68,0.096,-50-10,backward,485,2,19,translation,4080
69,0.05,-50-10,forward,1184,2,10,translation,4140
70,0.48,-50-10,backward,11882,1,99,translation,4200
71,1,-50-10,forward,5180,1,199,translation,4260
72,,,right,1000,12,100,rotation,4320
73,,,right,300,5,50,rotation,4380
74,,,right,545,8,10,rotation,4440
75,,,right,1000,8,50,rotation,4500
76,,,left,545,5,10,rotation,4560
77,,,left,300,12,10,rotation,4620
78,,,right,1000,5,200,rotation,4680
79,,,right,545,12,100,rotation,4740
80,,,left,300,5,50,rotation,4800
81,,,left,300,12,400,rotation,4860
82,,,left,300,8,400,rotation,4920
83,,,left,545,5,20,rotation,4980
84,,,left,300,12,100,rotation,5040
85,,,left,545,5,400,rotation,5100
86,,,right,300,12,10,rotation,5160
87,,,right,545,8,50,rotation,5220
88,,,right,545,8,200,rotation,5280
89,,,right,300,8,20,rotation,5340
90,,,left,300,8,50,rotation,5400
91,,,left,545,12,100,rotation,5460
92,,,right,545,5,400,rotation,5520
93,,,left,1000,5,50,rotation,5580
94,,,left,300,12,20,rotation,5640
95,,,left,300,5,400,rotation,5700
96,,,right,300,8,200,rotation,5760
97,,,left,300,8,20,rotation,5820
98,,,left,1000,8,10,rotation,5880
99,,,right,545,5,20,rotation,5940
100,,,right,300,12,20,rotation,6000
101,,,left,1000,5,200,rotation,6060
102,,,left,545,8,200,rotation,6120
103,,,right,545,12,200,rotation,6180
104,,,left,300,5,10,rotation,6240
105,,,left,545,12,200,rotation,6300
106,,,right,1000,8,20,rotation,6360
107,,,right,545,5,50,rotation,6420
108,,,left,1000,5,20,rotation,6480
109,,,left,545,12,50,rotation,6540
110,,,left,545,5,50,rotation,6600
111,,,left,545,12,400,rotation,6660
112,,,right,545,8,100,rotation,6720
113,,,left,1000,5,10,rotation,6780
114,,,right,545,12,400,rotation,6840
115,,,left,1000,8,200,rotation,6900
116,,,left,1000,12,10,rotation,6960
117,,,right,1000,5,20,rotation,7020
118,,,right,300,12,100,rotation,7080
119,,,right,1000,12,50,rotation,7140
120,,,right,1000,8,100,rotation,7200
121,,,left,545,12,20,rotation,7260
122,,,left,545,8,20,rotation,7320
123,,,right,545,12,50,rotation,7380
124,,,left,545,8,10,rotation,7440
125,,,left,1000,12,200,rotation,7500
126,,,right,1000,8,400,rotation,7560
127,,,right,1000,5,400,rotation,7620
128,,,right,545,5,10,rotation,7680
129,,,left,1000,12,50,rotation,7740
130,,,right,545,8,400,rotation,7800
131,,,right,300,5,20,rotation,7860
132,,,right,300,12,200,rotation,7920
133,,,right,300,8,100,rotation,7980
134,,,right,1000,8,200,rotation,8040
135,,,right,300,8,400,rotation,8100
136,,,left,1000,5,400,rotation,8160
137,,,left,1000,5,100,rotation,8220
138,,,left,545,5,200,rotation,8280
139,,,right,1000,8,10,rotation,8340
140,,,right,1000,12,200,rotation,8400
141,,,left,1000,12,20,rotation,8460
142,,,left,1000,8,50,rotation,8520
143,,,right,300,5,200,rotation,8580
144,,,right,300,5,100,rotation,8640
145,,,left,300,12,200,rotation,8700
146,,,left,545,8,400,rotation,8760
147,,,right,545,12,10,rotation,8820
148,,,right,1000,5,50,rotation,8880
149,,,right,300,8,10,rotation,8940
150,,,right,300,12,50,rotation,9000
151,,,left,545,12,10,rotation,9060
152,,,right,545,12,20,rotation,9120
153,,,left,300,8,100,rotation,9180
154,,,left,300,12,50,rotation,9240
155,,,right,300,5,10,rotation,9300
156,,,right,300,5,400,rotation,9360
157,,,right,545,5,200,rotation,9420
158,,,right,1000,5,10,rotation,9480
159,,,left,545,5,100,rotation,9540
160,,,right,1000,5,100,rotation,9600
161,,,left,300,8,10,rotation,9660
162,,,left,545,8,100,rotation,9720
163,,,left,300,8,200,rotation,9780
164,,,left,300,5,200,rotation,9840
165,,,left,300,5,100,rotation,9900
166,,,right,1000,12,400,rotation,9960
167,,,left,1000,8,400,rotation,10020
168,,,left,300,5,20,rotation,10080
169,,,right,1000,12,10,rotation,10140
170,,,right,545,5,100,rotation,10200
171,,,left,1000,12,100,rotation,10260
172,,,right,300,8,50,rotation,10320
173,,,left,1000,8,20,rotation,10380
174,,,right,545,8,20,rotation,10440
175,,,left,545,8,50,rotation,10500
176,,,left,1000,12,400,rotation,10560
177,,,left,1000,8,100,rotation,10620
178,,,right,1000,12,20,rotation,10680
179,,,right,300,12,400,rotation,10740
